CookerStat, GenerateAssetRegistry=0.030361, Initialize=0.154376, RunGuid=RunID4D4B50264371EBB272C02D878B33433D
SavePackageTransactionId4E94D2F748B79BE8295512A70721E1DA_0, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Blueprints/TopDownController.uasset, AutoPackageBackupDelegate=32.252491, FlushAsyncLoading=0.014968, FlushStreamingFunc=0.080395, BlockTillAllRequestsFinished=0.010688, ResetLoadersForSaveUnMarkAllObjects=0.198849, TagPackageExports=29.409201, BeginCacheForCookedPlatformData=0.008125, SerializeImports=37.620491, GatherLocalizableTextData=20.740345, MarkNames=0.174470, SerializeSummary=0.026084, SerializeNames=0.553779, SerializeGatherableTextData=0.158221, BuildExportMap=0.500750, SortExportsNonSeekfree=5.020771, SortExportsSeekfreeConstructor=0.097498, SortExportsSeekfreeInner=36.942280, SortExportsSeekfree=0.011116, BuildDependencyMap=1.109265, SerializeImportMap=0.038486, SerializeExportMap=0.157367, SerializeDependencyMap=0.034209, SerializeStringAssetReferenceMap=0.004277, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.809303, SerializeExports=42.075085, SerializeBulkData=0.034638, MoveFile=3.778513, UnaccountedTime=2.451159, RunGuid=RunID4D4B50264371EBB272C02D878B33433D
SavePackageTransactionId4E94D2F748B79BE8295512A70721E1DA_1, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Blueprints/TopDownController.uasset, AutoPackageBackupDelegate=3.259376, FlushAsyncLoading=0.004701, FlushStreamingFunc=0.114176, BlockTillAllRequestsFinished=0.007272, ResetLoadersForSaveUnMarkAllObjects=0.124864, TagPackageExports=26.921694, BeginCacheForCookedPlatformData=0.007696, SerializeImports=33.038471, GatherLocalizableTextData=20.359755, MarkNames=0.148814, SerializeSummary=0.019245, SerializeNames=0.580288, SerializeGatherableTextData=0.172760, BuildExportMap=0.510160, SortExportsNonSeekfree=5.097315, SortExportsSeekfreeConstructor=0.087235, SortExportsSeekfreeInner=35.996368, SortExportsSeekfree=0.009406, BuildDependencyMap=0.241607, SerializeImportMap=0.034638, SerializeExportMap=0.151806, SerializeDependencyMap=0.032499, SerializeStringAssetReferenceMap=0.003420, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.916636, SerializeExports=43.833492, SerializeBulkData=0.012401, MoveFile=3.094737, UnaccountedTime=1.883700, RunGuid=RunID4D4B50264371EBB272C02D878B33433D
SavePackageTransactionId4E94D2F748B79BE8295512A70721E1DA_2, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Blueprints/TopDownController.uasset, AutoPackageBackupDelegate=3.248256, FlushAsyncLoading=0.005133, FlushStreamingFunc=0.102632, BlockTillAllRequestsFinished=0.007268, ResetLoadersForSaveUnMarkAllObjects=0.123158, TagPackageExports=27.656357, BeginCacheForCookedPlatformData=0.007696, SerializeImports=33.190277, GatherLocalizableTextData=20.666794, MarkNames=0.161212, SerializeSummary=0.019245, SerializeNames=0.552066, SerializeGatherableTextData=0.159077, BuildExportMap=0.482794, SortExportsNonSeekfree=5.071227, SortExportsSeekfreeConstructor=0.089802, SortExportsSeekfreeInner=36.223438, SortExportsSeekfree=0.009835, BuildDependencyMap=0.245888, SerializeImportMap=0.036776, SerializeExportMap=0.156082, SerializeDependencyMap=0.058156, SerializeStringAssetReferenceMap=0.005133, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.869169, SerializeExports=43.903191, SerializeBulkData=0.013258, MoveFile=1.575381, UnaccountedTime=1.771230, RunGuid=RunID4D4B50264371EBB272C02D878B33433D
SavePackageTransactionId4E94D2F748B79BE8295512A70721E1DA_3, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Blueprints/TopDownController.uasset, AutoPackageBackupDelegate=3.298286, FlushAsyncLoading=0.005133, FlushStreamingFunc=0.117168, BlockTillAllRequestsFinished=0.008982, ResetLoadersForSaveUnMarkAllObjects=0.125721, TagPackageExports=29.069662, BeginCacheForCookedPlatformData=0.007696, SerializeImports=33.257847, GatherLocalizableTextData=20.873758, MarkNames=0.153091, SerializeSummary=0.020526, SerializeNames=0.562333, SerializeGatherableTextData=0.156511, BuildExportMap=0.479795, SortExportsNonSeekfree=5.074225, SortExportsSeekfreeConstructor=0.089373, SortExportsSeekfreeInner=37.368622, SortExportsSeekfree=0.009835, BuildDependencyMap=0.246741, SerializeImportMap=0.038058, SerializeExportMap=0.153948, SerializeDependencyMap=0.035495, SerializeStringAssetReferenceMap=0.004277, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.816999, SerializeExports=46.070831, SerializeBulkData=0.020955, MoveFile=1.918334, UnaccountedTime=2.078693, RunGuid=RunID4D4B50264371EBB272C02D878B33433D
SavePackageTransactionId4E94D2F748B79BE8295512A70721E1DA_4, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Blueprints/TopDownController.uasset, AutoPackageBackupDelegate=3.239702, FlushAsyncLoading=0.005133, FlushStreamingFunc=0.102628, BlockTillAllRequestsFinished=0.007272, ResetLoadersForSaveUnMarkAllObjects=0.122730, TagPackageExports=29.521238, BeginCacheForCookedPlatformData=0.007696, SerializeImports=34.216583, GatherLocalizableTextData=20.806196, MarkNames=0.153948, SerializeSummary=0.019241, SerializeNames=0.567462, SerializeGatherableTextData=0.156086, BuildExportMap=0.488348, SortExportsNonSeekfree=5.046427, SortExportsSeekfreeConstructor=0.087664, SortExportsSeekfreeInner=36.920467, SortExportsSeekfree=0.009406, BuildDependencyMap=0.245031, SerializeImportMap=0.036351, SerializeExportMap=0.154372, SerializeDependencyMap=0.032499, SerializeStringAssetReferenceMap=0.002995, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.867030, SerializeExports=41.916439, SerializeBulkData=0.013255, MoveFile=1.543306, UnaccountedTime=1.833238, RunGuid=RunID4D4B50264371EBB272C02D878B33433D
SavePackageTransactionId4E94D2F748B79BE8295512A70721E1DA_5, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Blueprints/TopDownController.uasset, AutoPackageBackupDelegate=5.731486, FlushAsyncLoading=0.013683, FlushStreamingFunc=0.064570, BlockTillAllRequestsFinished=0.006843, ResetLoadersForSaveUnMarkAllObjects=0.147104, TagPackageExports=29.273643, BeginCacheForCookedPlatformData=0.007268, SerializeImports=34.300400, GatherLocalizableTextData=21.892368, MarkNames=0.161216, SerializeSummary=0.022236, SerializeNames=0.555489, SerializeGatherableTextData=0.168484, BuildExportMap=0.488777, SortExportsNonSeekfree=5.233731, SortExportsSeekfreeConstructor=0.092365, SortExportsSeekfreeInner=38.072926, SortExportsSeekfree=0.009406, BuildDependencyMap=0.252727, SerializeImportMap=0.035923, SerializeExportMap=0.159077, SerializeDependencyMap=0.081249, SerializeStringAssetReferenceMap=0.004705, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.994036, SerializeExports=42.962837, SerializeBulkData=0.014540, MoveFile=3.837097, UnaccountedTime=1.777645, RunGuid=RunID4D4B50264371EBB272C02D878B33433D
SavePackageTransactionId4E94D2F748B79BE8295512A70721E1DA_6, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Blueprints/TopDownController.uasset, AutoPackageBackupDelegate=3.618151, FlushAsyncLoading=0.005133, FlushStreamingFunc=0.104766, BlockTillAllRequestsFinished=0.007700, ResetLoadersForSaveUnMarkAllObjects=0.125721, TagPackageExports=32.955086, BeginCacheForCookedPlatformData=0.007268, SerializeImports=32.930283, GatherLocalizableTextData=25.749140, MarkNames=0.167627, SerializeSummary=0.021812, SerializeNames=0.608511, SerializeGatherableTextData=0.203550, BuildExportMap=0.477660, SortExportsNonSeekfree=5.793065, SortExportsSeekfreeConstructor=0.089373, SortExportsSeekfreeInner=39.731689, SortExportsSeekfree=0.009410, BuildDependencyMap=0.255719, SerializeImportMap=0.035919, SerializeExportMap=0.165064, SerializeDependencyMap=0.035066, SerializeStringAssetReferenceMap=0.003420, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.935881, SerializeExports=46.509151, SerializeBulkData=0.014540, MoveFile=12.093294, UnaccountedTime=1.920901, RunGuid=RunID4D4B50264371EBB272C02D878B33433D
SavePackageTransactionId4E94D2F748B79BE8295512A70721E1DA_7, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Blueprints/TopDownController.uasset, AutoPackageBackupDelegate=5.473200, FlushAsyncLoading=0.011545, FlushStreamingFunc=0.084244, BlockTillAllRequestsFinished=0.008553, ResetLoadersForSaveUnMarkAllObjects=0.162497, TagPackageExports=32.590744, BeginCacheForCookedPlatformData=0.008553, SerializeImports=33.578136, GatherLocalizableTextData=26.768173, MarkNames=0.153519, SerializeSummary=0.021808, SerializeNames=0.550784, SerializeGatherableTextData=0.245031, BuildExportMap=0.449434, SortExportsNonSeekfree=4.222393, SortExportsSeekfreeConstructor=0.085097, SortExportsSeekfreeInner=31.838547, SortExportsSeekfree=0.014968, BuildDependencyMap=0.225786, SerializeImportMap=0.047892, SerializeExportMap=0.181314, SerializeDependencyMap=0.030365, SerializeStringAssetReferenceMap=0.003420, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.604040, SerializeExports=39.189034, SerializeBulkData=0.014540, MoveFile=5.631849, UnaccountedTime=1.870442, RunGuid=RunID4D4B50264371EBB272C02D878B33433D
SavePackageTransactionId4E94D2F748B79BE8295512A70721E1DA_8, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Saved/Autosaves/Game/TopDownBP/Blueprints/TopDownController_Auto1.uasset, AutoPackageBackupDelegate=5.614314, FlushAsyncLoading=0.011548, FlushStreamingFunc=0.064570, BlockTillAllRequestsFinished=0.006843, ResetLoadersForSaveUnMarkAllObjects=0.142399, TagPackageExports=26.319593, BeginCacheForCookedPlatformData=0.007696, SerializeImports=31.941608, GatherLocalizableTextData=29.598209, MarkNames=0.164635, SerializeSummary=0.021383, SerializeNames=0.590980, SerializeGatherableTextData=0.249732, BuildExportMap=0.512727, SortExportsNonSeekfree=4.589293, SortExportsSeekfreeConstructor=0.091083, SortExportsSeekfreeInner=35.871929, SortExportsSeekfree=0.009835, BuildDependencyMap=0.243317, SerializeImportMap=0.038486, SerializeExportMap=0.147529, SerializeDependencyMap=0.032499, SerializeStringAssetReferenceMap=0.003424, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.549304, SerializeExports=42.759289, SerializeBulkData=0.014115, MoveFile=1.441106, UnaccountedTime=0.258286, RunGuid=RunID4D4B50264371EBB272C02D878B33433D
SavePackageTransactionId4E94D2F748B79BE8295512A70721E1DA_9, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Blueprints/TopDownController.uasset, AutoPackageBackupDelegate=3.568549, FlushAsyncLoading=0.005133, FlushStreamingFunc=0.108615, BlockTillAllRequestsFinished=0.008553, ResetLoadersForSaveUnMarkAllObjects=0.125296, TagPackageExports=22.475653, BeginCacheForCookedPlatformData=0.007696, SerializeImports=27.325798, GatherLocalizableTextData=29.138941, MarkNames=0.139404, SerializeSummary=0.021812, SerializeNames=0.544369, SerializeGatherableTextData=28.872528, BuildExportMap=0.503317, SortExportsNonSeekfree=3.710091, SortExportsSeekfreeConstructor=0.141546, SortExportsSeekfreeInner=31.108160, SortExportsSeekfree=0.009835, BuildDependencyMap=0.212960, SerializeImportMap=0.036348, SerializeExportMap=0.130426, SerializeDependencyMap=0.079967, SerializeStringAssetReferenceMap=0.004705, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.313683, SerializeExports=35.781696, SerializeBulkData=0.014540, MoveFile=17.175644, UnaccountedTime=2.154384, RunGuid=RunID4D4B50264371EBB272C02D878B33433D
SavePackageTransactionId4E94D2F748B79BE8295512A70721E1DA_10, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Blueprints/TopDownController.uasset, AutoPackageBackupDelegate=5.579677, FlushAsyncLoading=0.012401, FlushStreamingFunc=0.121873, BlockTillAllRequestsFinished=0.009410, ResetLoadersForSaveUnMarkAllObjects=0.171050, TagPackageExports=30.776321, BeginCacheForCookedPlatformData=0.007696, SerializeImports=35.572590, GatherLocalizableTextData=35.163349, MarkNames=0.174046, SerializeSummary=0.022661, SerializeNames=0.594832, SerializeGatherableTextData=0.322003, BuildExportMap=0.506736, SortExportsNonSeekfree=5.701553, SortExportsSeekfreeConstructor=0.094078, SortExportsSeekfreeInner=40.324383, SortExportsSeekfree=0.009406, BuildDependencyMap=0.264701, SerializeImportMap=0.035919, SerializeExportMap=0.168059, SerializeDependencyMap=0.037629, SerializeStringAssetReferenceMap=0.003424, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.741527, SerializeExports=46.638294, SerializeBulkData=0.015397, MoveFile=1.588207, UnaccountedTime=1.824256, RunGuid=RunID4D4B50264371EBB272C02D878B33433D
