CookerStat, GenerateAssetRegistry=32.314785, Initialize=133.843719, RunGuid=RunIDB3525379458AC072D53BE9A31236CDFA
SavePackageTransactionId7FD8EF1040AC240E302F7BBCE46477CE_0, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Maps/TopDownExampleMap.umap, AutoPackageBackupDelegate=203.042038, FlushAsyncLoading=0.015821, FlushStreamingFunc=0.124015, BlockTillAllRequestsFinished=0.008550, ResetLoadersForSaveUnMarkAllObjects=75.537437, TagPackageExports=2.818905, BeginCacheForCookedPlatformData=0.005130, SerializeImports=4.824471, GatherLocalizableTextData=22.058193, MarkNames=0.152234, SerializeSummary=0.031218, SerializeNames=0.824887, SerializeGatherableTextData=0.051744, BuildExportMap=0.557195, SortExportsNonSeekfree=1.463763, SortExportsSeekfreeConstructor=0.112463, SortExportsSeekfreeInner=40.370823, SortExportsSeekfree=0.009835, BuildDependencyMap=0.206970, SerializeImportMap=0.079110, SerializeExportMap=0.102203, SerializeDependencyMap=0.025656, SerializeStringAssetReferenceMap=0.003848, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.025235, SerializeExports=16.876657, SerializeBulkData=578.247314, MoveFile=3.211893, UnaccountedTime=1.824249, RunGuid=RunIDB3525379458AC072D53BE9A31236CDFA
SavePackageTransactionId7FD8EF1040AC240E302F7BBCE46477CE_1, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Blueprints/TopDownCharacter.uasset, AutoPackageBackupDelegate=68.545341, FlushAsyncLoading=0.017103, FlushStreamingFunc=0.092797, BlockTillAllRequestsFinished=0.011545, ResetLoadersForSaveUnMarkAllObjects=0.277102, TagPackageExports=73.637497, BeginCacheForCookedPlatformData=0.008982, SerializeImports=80.695885, GatherLocalizableTextData=40.645782, MarkNames=0.263419, SerializeSummary=0.022665, SerializeNames=0.700448, SerializeGatherableTextData=0.475094, BuildExportMap=0.750911, SortExportsNonSeekfree=11.860185, SortExportsSeekfreeConstructor=0.021812, SortExportsSeekfreeInner=87.702950, SortExportsSeekfree=0.010692, BuildDependencyMap=1.366690, SerializeImportMap=0.048749, SerializeExportMap=0.273678, SerializeDependencyMap=0.062004, SerializeStringAssetReferenceMap=0.004277, SaveThumbNailsAssetRegistryDataWorldLevelInfo=19.649384, SerializeExports=98.982422, SerializeBulkData=0.014115, MoveFile=2.437037, UnaccountedTime=1.922604, RunGuid=RunIDB3525379458AC072D53BE9A31236CDFA
SavePackageTransactionId7FD8EF1040AC240E302F7BBCE46477CE_2, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Blueprints/TopDownCharacter.uasset, AutoPackageBackupDelegate=3.003214, FlushAsyncLoading=0.005133, FlushStreamingFunc=0.056874, BlockTillAllRequestsFinished=0.006411, ResetLoadersForSaveUnMarkAllObjects=0.124015, TagPackageExports=78.520981, BeginCacheForCookedPlatformData=0.008978, SerializeImports=80.852821, GatherLocalizableTextData=49.294933, MarkNames=0.302758, SerializeSummary=0.032071, SerializeNames=0.841141, SerializeGatherableTextData=0.493906, BuildExportMap=0.794955, SortExportsNonSeekfree=12.760766, SortExportsSeekfreeConstructor=0.111181, SortExportsSeekfreeInner=106.164391, SortExportsSeekfree=0.011545, BuildDependencyMap=0.488348, SerializeImportMap=0.053879, SerializeExportMap=0.316869, SerializeDependencyMap=0.065427, SerializeStringAssetReferenceMap=0.004277, SaveThumbNailsAssetRegistryDataWorldLevelInfo=21.575830, SerializeExports=120.999138, SerializeBulkData=0.015397, MoveFile=1.697674, UnaccountedTime=2.114177, RunGuid=RunIDB3525379458AC072D53BE9A31236CDFA
SavePackageTransactionId7FD8EF1040AC240E302F7BBCE46477CE_3, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Maps/TopDownExampleMap.umap, AutoPackageBackupDelegate=5.523637, FlushAsyncLoading=0.007268, FlushStreamingFunc=0.113323, BlockTillAllRequestsFinished=0.008550, ResetLoadersForSaveUnMarkAllObjects=129.442169, TagPackageExports=5.892675, BeginCacheForCookedPlatformData=0.010263, SerializeImports=7.781927, GatherLocalizableTextData=33.639568, MarkNames=0.192430, SerializeSummary=0.036348, SerializeNames=1.152880, SerializeGatherableTextData=0.073552, BuildExportMap=0.788111, SortExportsNonSeekfree=2.171908, SortExportsSeekfreeConstructor=0.147104, SortExportsSeekfreeInner=58.328518, SortExportsSeekfree=0.011116, BuildDependencyMap=0.256147, SerializeImportMap=0.097927, SerializeExportMap=0.129145, SerializeDependencyMap=0.034638, SerializeStringAssetReferenceMap=0.005133, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.898443, SerializeExports=22.292532, SerializeBulkData=731.124207, MoveFile=3.490277, UnaccountedTime=3.692116, RunGuid=RunIDB3525379458AC072D53BE9A31236CDFA
SavePackageTransactionId7FD8EF1040AC240E302F7BBCE46477CE_4, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Maps/TopDownExampleMap.umap, AutoPackageBackupDelegate=76.486763, FlushAsyncLoading=0.014540, FlushStreamingFunc=0.085525, BlockTillAllRequestsFinished=0.007268, ResetLoadersForSaveUnMarkAllObjects=83.393349, TagPackageExports=3.129363, BeginCacheForCookedPlatformData=0.004701, SerializeImports=5.603176, GatherLocalizableTextData=24.147146, MarkNames=0.138976, SerializeSummary=0.025231, SerializeNames=0.852685, SerializeGatherableTextData=0.057727, BuildExportMap=0.550356, SortExportsNonSeekfree=1.428269, SortExportsSeekfreeConstructor=0.094932, SortExportsSeekfreeInner=43.360348, SortExportsSeekfree=0.011116, BuildDependencyMap=0.246741, SerializeImportMap=0.094075, SerializeExportMap=0.156939, SerializeDependencyMap=0.034638, SerializeStringAssetReferenceMap=0.004277, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.583712, SerializeExports=21.129393, SerializeBulkData=709.357239, MoveFile=5.888402, UnaccountedTime=2.753478, RunGuid=RunIDB3525379458AC072D53BE9A31236CDFA
SavePackageTransactionId7FD8EF1040AC240E302F7BBCE46477CE_5, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Blueprints/TopDownCharacter.uasset, AutoPackageBackupDelegate=8.992531, FlushAsyncLoading=0.015397, FlushStreamingFunc=0.083812, BlockTillAllRequestsFinished=0.011120, ResetLoadersForSaveUnMarkAllObjects=0.200983, TagPackageExports=104.463722, BeginCacheForCookedPlatformData=0.010692, SerializeImports=96.050621, GatherLocalizableTextData=48.138634, MarkNames=0.275817, SerializeSummary=0.023946, SerializeNames=0.743642, SerializeGatherableTextData=0.487063, BuildExportMap=0.808213, SortExportsNonSeekfree=12.512315, SortExportsSeekfreeConstructor=0.021812, SortExportsSeekfreeInner=115.464813, SortExportsSeekfree=0.012830, BuildDependencyMap=1.763098, SerializeImportMap=0.056021, SerializeExportMap=0.342529, SerializeDependencyMap=0.077829, SerializeStringAssetReferenceMap=0.005558, SaveThumbNailsAssetRegistryDataWorldLevelInfo=23.737907, SerializeExports=115.153496, SerializeBulkData=0.015393, MoveFile=2.319012, UnaccountedTime=2.356213, RunGuid=RunIDB3525379458AC072D53BE9A31236CDFA
SavePackageTransactionId7FD8EF1040AC240E302F7BBCE46477CE_6, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Blueprints/TopDownCharacter.uasset, AutoPackageBackupDelegate=8.230075, FlushAsyncLoading=0.012401, FlushStreamingFunc=0.137694, BlockTillAllRequestsFinished=0.017535, ResetLoadersForSaveUnMarkAllObjects=0.276245, TagPackageExports=67.324471, BeginCacheForCookedPlatformData=0.008550, SerializeImports=66.113861, GatherLocalizableTextData=41.932503, MarkNames=0.244174, SerializeSummary=0.023950, SerializeNames=0.701305, SerializeGatherableTextData=0.456277, BuildExportMap=0.737652, SortExportsNonSeekfree=11.158880, SortExportsSeekfreeConstructor=0.104342, SortExportsSeekfreeInner=88.254593, SortExportsSeekfree=0.011116, BuildDependencyMap=1.322646, SerializeImportMap=0.055164, SerializeExportMap=0.299763, SerializeDependencyMap=0.047892, SerializeStringAssetReferenceMap=0.004277, SaveThumbNailsAssetRegistryDataWorldLevelInfo=21.393663, SerializeExports=117.926224, SerializeBulkData=0.015821, MoveFile=1.790039, UnaccountedTime=2.269838, RunGuid=RunIDB3525379458AC072D53BE9A31236CDFA
SavePackageTransactionId7FD8EF1040AC240E302F7BBCE46477CE_7, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Maps/TopDownExampleMap.umap, AutoPackageBackupDelegate=3.595475, FlushAsyncLoading=0.005987, FlushStreamingFunc=0.073977, BlockTillAllRequestsFinished=0.009410, ResetLoadersForSaveUnMarkAllObjects=97.019196, TagPackageExports=3.485572, BeginCacheForCookedPlatformData=0.005562, SerializeImports=5.958103, GatherLocalizableTextData=25.080647, MarkNames=0.142399, SerializeSummary=0.024803, SerializeNames=0.850119, SerializeGatherableTextData=0.061151, BuildExportMap=0.580288, SortExportsNonSeekfree=1.487281, SortExportsSeekfreeConstructor=0.097927, SortExportsSeekfreeInner=41.517284, SortExportsSeekfree=0.008978, BuildDependencyMap=0.196707, SerializeImportMap=0.079967, SerializeExportMap=0.112034, SerializeDependencyMap=0.025231, SerializeStringAssetReferenceMap=0.002995, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.933292, SerializeExports=16.715445, SerializeBulkData=594.358948, MoveFile=26.124914, UnaccountedTime=1.838788, RunGuid=RunIDB3525379458AC072D53BE9A31236CDFA
SavePackageTransactionId7FD8EF1040AC240E302F7BBCE46477CE_8, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Maps/TopDownExampleMap.umap, AutoPackageBackupDelegate=115.624313, FlushAsyncLoading=0.015393, FlushStreamingFunc=0.059012, BlockTillAllRequestsFinished=0.006843, ResetLoadersForSaveUnMarkAllObjects=74.897713, TagPackageExports=2.499469, BeginCacheForCookedPlatformData=0.004277, SerializeImports=4.677795, GatherLocalizableTextData=19.484316, MarkNames=0.118453, SerializeSummary=0.022665, SerializeNames=0.782982, SerializeGatherableTextData=0.047039, BuildExportMap=0.468250, SortExportsNonSeekfree=1.360703, SortExportsSeekfreeConstructor=0.089802, SortExportsSeekfreeInner=35.767860, SortExportsSeekfree=0.009835, BuildDependencyMap=0.199702, SerializeImportMap=0.065852, SerializeExportMap=0.085525, SerializeDependencyMap=0.023518, SerializeStringAssetReferenceMap=0.003424, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.035067, SerializeExports=15.927334, SerializeBulkData=489.888367, MoveFile=2.698317, UnaccountedTime=1.571093, RunGuid=RunIDB3525379458AC072D53BE9A31236CDFA
SavePackageTransactionId7FD8EF1040AC240E302F7BBCE46477CE_9, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Blueprints/TopDownCharacter.uasset, AutoPackageBackupDelegate=6.440464, FlushAsyncLoading=0.014111, FlushStreamingFunc=0.042763, BlockTillAllRequestsFinished=0.005987, ResetLoadersForSaveUnMarkAllObjects=0.150952, TagPackageExports=45.199139, BeginCacheForCookedPlatformData=0.008125, SerializeImports=47.581863, GatherLocalizableTextData=37.688328, MarkNames=1.270901, SerializeSummary=0.029080, SerializeNames=0.621766, SerializeGatherableTextData=0.389140, BuildExportMap=0.617493, SortExportsNonSeekfree=6.684639, SortExportsSeekfreeConstructor=0.019241, SortExportsSeekfreeInner=64.868187, SortExportsSeekfree=0.010692, BuildDependencyMap=0.460550, SerializeImportMap=0.046182, SerializeExportMap=0.205688, SerializeDependencyMap=0.036348, SerializeStringAssetReferenceMap=0.003420, SaveThumbNailsAssetRegistryDataWorldLevelInfo=15.401781, SerializeExports=65.695213, SerializeBulkData=0.013258, MoveFile=2.439175, UnaccountedTime=2.072699, RunGuid=RunIDB3525379458AC072D53BE9A31236CDFA
SavePackageTransactionId7FD8EF1040AC240E302F7BBCE46477CE_10, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Maps/TopDownExampleMap.umap, AutoPackageBackupDelegate=3.331631, FlushAsyncLoading=0.004701, FlushStreamingFunc=0.057731, BlockTillAllRequestsFinished=0.008553, ResetLoadersForSaveUnMarkAllObjects=73.913315, TagPackageExports=2.471674, BeginCacheForCookedPlatformData=0.003848, SerializeImports=5.781922, GatherLocalizableTextData=19.347050, MarkNames=0.122301, SerializeSummary=0.023093, SerializeNames=0.719693, SerializeGatherableTextData=0.090659, BuildExportMap=0.483215, SortExportsNonSeekfree=1.348302, SortExportsSeekfreeConstructor=0.094078, SortExportsSeekfreeInner=35.358624, SortExportsSeekfree=0.008982, BuildDependencyMap=0.183877, SerializeImportMap=0.073124, SerializeExportMap=0.102632, SerializeDependencyMap=0.023521, SerializeStringAssetReferenceMap=0.003420, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.836222, SerializeExports=15.523653, SerializeBulkData=513.059692, MoveFile=4.968152, UnaccountedTime=1.902930, RunGuid=RunIDB3525379458AC072D53BE9A31236CDFA
