CookerStat, GenerateAssetRegistry=0.057731, Initialize=87.215889, RunGuid=RunID005C05844D0A24ED86DF63AB21074A6A
SavePackageTransactionId000A354849CDE23AA9BA66AAFD44BC09_0, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Maps/TopDownExampleMap.umap, AutoPackageBackupDelegate=124.042549, FlushAsyncLoading=0.016250, FlushStreamingFunc=0.085954, BlockTillAllRequestsFinished=0.006840, ResetLoadersForSaveUnMarkAllObjects=429.139069, TagPackageExports=2.635453, BeginCacheForCookedPlatformData=0.005558, SerializeImports=13.829403, GatherLocalizableTextData=19.320108, MarkNames=0.128716, SerializeSummary=0.028651, SerializeNames=0.700023, SerializeGatherableTextData=0.046182, BuildExportMap=0.478514, SortExportsNonSeekfree=1.181100, SortExportsSeekfreeConstructor=0.093225, SortExportsSeekfreeInner=34.589325, SortExportsSeekfree=0.011120, BuildDependencyMap=0.184305, SerializeImportMap=0.068847, SerializeExportMap=0.084668, SerializeDependencyMap=0.023946, SerializeStringAssetReferenceMap=0.002995, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.899511, SerializeExports=82.426910, SerializeBulkData=488.095764, MoveFile=2.715848, UnaccountedTime=0.224933, RunGuid=RunID005C05844D0A24ED86DF63AB21074A6A
SavePackageTransactionId000A354849CDE23AA9BA66AAFD44BC09_1, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Maps/TopDownExampleMap.umap, AutoPackageBackupDelegate=3.360707, FlushAsyncLoading=0.004701, FlushStreamingFunc=0.062007, BlockTillAllRequestsFinished=0.005130, ResetLoadersForSaveUnMarkAllObjects=74.719391, TagPackageExports=2.651278, BeginCacheForCookedPlatformData=0.006840, SerializeImports=4.636742, GatherLocalizableTextData=19.228172, MarkNames=0.119735, SerializeSummary=0.022236, SerializeNames=0.703443, SerializeGatherableTextData=0.043191, BuildExportMap=0.458840, SortExportsNonSeekfree=1.180675, SortExportsSeekfreeConstructor=0.082102, SortExportsSeekfreeInner=34.779621, SortExportsSeekfree=0.007700, BuildDependencyMap=0.183024, SerializeImportMap=0.067137, SerializeExportMap=0.085097, SerializeDependencyMap=0.035066, SerializeStringAssetReferenceMap=0.005130, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.203125, SerializeExports=27.779821, SerializeBulkData=486.617889, MoveFile=4.222371, UnaccountedTime=1.507807, RunGuid=RunID005C05844D0A24ED86DF63AB21074A6A
SavePackageTransactionId000A354849CDE23AA9BA66AAFD44BC09_2, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Blueprints/TopDownCharacter.uasset, AutoPackageBackupDelegate=95.294586, FlushAsyncLoading=0.019670, FlushStreamingFunc=0.122730, BlockTillAllRequestsFinished=0.015397, ResetLoadersForSaveUnMarkAllObjects=0.319861, TagPackageExports=25.601500, BeginCacheForCookedPlatformData=0.007696, SerializeImports=42.118950, GatherLocalizableTextData=17.608326, MarkNames=0.140261, SerializeSummary=0.019670, SerializeNames=10.983985, SerializeGatherableTextData=0.191577, BuildExportMap=0.467822, SortExportsNonSeekfree=4.513584, SortExportsSeekfreeConstructor=0.020526, SortExportsSeekfreeInner=40.147171, SortExportsSeekfree=0.010263, BuildDependencyMap=0.262134, SerializeImportMap=0.045329, SerializeExportMap=0.124864, SerializeDependencyMap=0.026513, SerializeStringAssetReferenceMap=0.002995, SaveThumbNailsAssetRegistryDataWorldLevelInfo=46.941708, SerializeExports=37.711845, SerializeBulkData=0.010692, MoveFile=2.028227, UnaccountedTime=1.754120, RunGuid=RunID005C05844D0A24ED86DF63AB21074A6A
SavePackageTransactionId000A354849CDE23AA9BA66AAFD44BC09_3, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Maps/TopDownExampleMap.umap, AutoPackageBackupDelegate=3.080610, FlushAsyncLoading=0.004705, FlushStreamingFunc=0.038486, BlockTillAllRequestsFinished=0.005133, ResetLoadersForSaveUnMarkAllObjects=73.969337, TagPackageExports=2.487924, BeginCacheForCookedPlatformData=0.003848, SerializeImports=4.354082, GatherLocalizableTextData=19.200802, MarkNames=0.119310, SerializeSummary=0.020951, SerializeNames=0.690188, SerializeGatherableTextData=0.044044, BuildExportMap=0.478514, SortExportsNonSeekfree=1.184095, SortExportsSeekfreeConstructor=0.080820, SortExportsSeekfreeInner=34.385777, SortExportsSeekfree=0.008553, BuildDependencyMap=0.177462, SerializeImportMap=0.064570, SerializeExportMap=0.084672, SerializeDependencyMap=0.030790, SerializeStringAssetReferenceMap=0.005130, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.871716, SerializeExports=15.310698, SerializeBulkData=476.675171, MoveFile=3.143471, UnaccountedTime=1.689978, RunGuid=RunID005C05844D0A24ED86DF63AB21074A6A
SavePackageTransactionId000A354849CDE23AA9BA66AAFD44BC09_4, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Blueprints/TopDownCharacter.uasset, AutoPackageBackupDelegate=2.540525, FlushAsyncLoading=0.005130, FlushStreamingFunc=0.049606, BlockTillAllRequestsFinished=0.005558, ResetLoadersForSaveUnMarkAllObjects=0.106905, TagPackageExports=23.716095, BeginCacheForCookedPlatformData=0.007696, SerializeImports=27.891006, GatherLocalizableTextData=17.578817, MarkNames=0.142399, SerializeSummary=0.019245, SerializeNames=0.485782, SerializeGatherableTextData=0.178747, BuildExportMap=0.440456, SortExportsNonSeekfree=4.363060, SortExportsSeekfreeConstructor=0.021808, SortExportsSeekfreeInner=41.169624, SortExportsSeekfree=0.009835, BuildDependencyMap=0.211675, SerializeImportMap=0.040196, SerializeExportMap=0.189010, SerializeDependencyMap=0.027366, SerializeStringAssetReferenceMap=0.002995, SaveThumbNailsAssetRegistryDataWorldLevelInfo=12.738529, SerializeExports=37.888454, SerializeBulkData=0.013683, MoveFile=1.438104, UnaccountedTime=37.681488, RunGuid=RunID005C05844D0A24ED86DF63AB21074A6A
SavePackageTransactionId000A354849CDE23AA9BA66AAFD44BC09_5, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Maps/TopDownExampleMap.umap, AutoPackageBackupDelegate=2.655979, FlushAsyncLoading=0.005133, FlushStreamingFunc=0.129998, BlockTillAllRequestsFinished=0.007268, ResetLoadersForSaveUnMarkAllObjects=73.452766, TagPackageExports=2.405822, BeginCacheForCookedPlatformData=0.003848, SerializeImports=4.450724, GatherLocalizableTextData=20.852289, MarkNames=0.132993, SerializeSummary=0.024803, SerializeNames=0.703871, SerializeGatherableTextData=0.044473, BuildExportMap=0.462689, SortExportsNonSeekfree=1.181103, SortExportsSeekfreeConstructor=0.081677, SortExportsSeekfreeInner=35.312439, SortExportsSeekfree=0.009406, BuildDependencyMap=0.190720, SerializeImportMap=0.065424, SerializeExportMap=0.084244, SerializeDependencyMap=0.022665, SerializeStringAssetReferenceMap=0.003420, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.922604, SerializeExports=45.880768, SerializeBulkData=485.526184, MoveFile=3.319226, UnaccountedTime=29.145229, RunGuid=RunID005C05844D0A24ED86DF63AB21074A6A
SavePackageTransactionId000A354849CDE23AA9BA66AAFD44BC09_6, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Blueprints/TopDownCharacter.uasset, AutoPackageBackupDelegate=2.394274, FlushAsyncLoading=0.004701, FlushStreamingFunc=0.054736, BlockTillAllRequestsFinished=0.005562, ResetLoadersForSaveUnMarkAllObjects=0.109900, TagPackageExports=25.418903, BeginCacheForCookedPlatformData=0.007696, SerializeImports=27.810183, GatherLocalizableTextData=17.348330, MarkNames=0.134703, SerializeSummary=0.019241, SerializeNames=1.345310, SerializeGatherableTextData=0.201412, BuildExportMap=0.446867, SortExportsNonSeekfree=4.271548, SortExportsSeekfreeConstructor=0.015825, SortExportsSeekfreeInner=41.022945, SortExportsSeekfree=0.009410, BuildDependencyMap=0.199702, SerializeImportMap=0.041910, SerializeExportMap=0.124864, SerializeDependencyMap=0.035062, SerializeStringAssetReferenceMap=0.004705, SaveThumbNailsAssetRegistryDataWorldLevelInfo=12.499489, SerializeExports=38.954521, SerializeBulkData=0.014111, MoveFile=1.840498, UnaccountedTime=2.457138, RunGuid=RunID005C05844D0A24ED86DF63AB21074A6A
SavePackageTransactionId000A354849CDE23AA9BA66AAFD44BC09_7, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Maps/TopDownExampleMap.umap, AutoPackageBackupDelegate=2.653416, FlushAsyncLoading=0.004277, FlushStreamingFunc=0.060294, BlockTillAllRequestsFinished=0.007268, ResetLoadersForSaveUnMarkAllObjects=75.481422, TagPackageExports=2.404109, BeginCacheForCookedPlatformData=0.003420, SerializeImports=5.881131, GatherLocalizableTextData=19.459517, MarkNames=0.121020, SerializeSummary=0.022665, SerializeNames=0.720121, SerializeGatherableTextData=0.047039, BuildExportMap=0.468675, SortExportsNonSeekfree=1.259357, SortExportsSeekfreeConstructor=0.088945, SortExportsSeekfreeInner=34.496960, SortExportsSeekfree=0.008982, BuildDependencyMap=0.207826, SerializeImportMap=0.067994, SerializeExportMap=0.092793, SerializeDependencyMap=0.023093, SerializeStringAssetReferenceMap=0.003420, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.829382, SerializeExports=15.996177, SerializeBulkData=522.559387, MoveFile=3.344033, UnaccountedTime=1.587343, RunGuid=RunID005C05844D0A24ED86DF63AB21074A6A
SavePackageTransactionId000A354849CDE23AA9BA66AAFD44BC09_8, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Blueprints/TopDownController.uasset, AutoPackageBackupDelegate=128.844360, FlushAsyncLoading=0.028223, FlushStreamingFunc=0.209965, BlockTillAllRequestsFinished=0.023089, ResetLoadersForSaveUnMarkAllObjects=0.458844, TagPackageExports=58.437988, BeginCacheForCookedPlatformData=0.036348, SerializeImports=87.537033, GatherLocalizableTextData=36.014172, MarkNames=0.266839, SerializeSummary=0.022665, SerializeNames=0.639301, SerializeGatherableTextData=0.506308, BuildExportMap=0.658542, SortExportsNonSeekfree=10.346394, SortExportsSeekfreeConstructor=0.024375, SortExportsSeekfreeInner=66.550041, SortExportsSeekfree=0.010263, BuildDependencyMap=1.376953, SerializeImportMap=0.043619, SerializeExportMap=0.281379, SerializeDependencyMap=0.078253, SerializeStringAssetReferenceMap=0.004705, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.995950, SerializeExports=100.236221, SerializeBulkData=0.013683, MoveFile=26.328459, UnaccountedTime=2.053458, RunGuid=RunID005C05844D0A24ED86DF63AB21074A6A
SavePackageTransactionId000A354849CDE23AA9BA66AAFD44BC09_9, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Maps/TopDownExampleMap.umap, AutoPackageBackupDelegate=3.469326, FlushAsyncLoading=0.005130, FlushStreamingFunc=0.076119, BlockTillAllRequestsFinished=0.005558, ResetLoadersForSaveUnMarkAllObjects=78.786537, TagPackageExports=2.680782, BeginCacheForCookedPlatformData=0.004277, SerializeImports=4.774865, GatherLocalizableTextData=24.075731, MarkNames=0.148814, SerializeSummary=0.024375, SerializeNames=0.865940, SerializeGatherableTextData=0.053026, BuildExportMap=0.581142, SortExportsNonSeekfree=1.579221, SortExportsSeekfreeConstructor=0.111181, SortExportsSeekfreeInner=40.781342, SortExportsSeekfree=0.009835, BuildDependencyMap=0.212103, SerializeImportMap=0.074837, SerializeExportMap=0.106905, SerializeDependencyMap=0.034213, SerializeStringAssetReferenceMap=0.004701, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.153523, SerializeExports=17.394512, SerializeBulkData=589.599060, MoveFile=4.383158, UnaccountedTime=1.792178, RunGuid=RunID005C05844D0A24ED86DF63AB21074A6A
SavePackageTransactionId000A354849CDE23AA9BA66AAFD44BC09_10, Filename=../../../../sergey/UnrealProjects/TopDownMiniGame/Content/TopDownBP/Blueprints/TopDownController.uasset, AutoPackageBackupDelegate=2.561048, FlushAsyncLoading=0.006411, FlushStreamingFunc=0.056021, BlockTillAllRequestsFinished=0.005558, ResetLoadersForSaveUnMarkAllObjects=0.119310, TagPackageExports=64.916512, BeginCacheForCookedPlatformData=0.008553, SerializeImports=72.042030, GatherLocalizableTextData=45.339825, MarkNames=0.493050, SerializeSummary=0.030361, SerializeNames=0.958309, SerializeGatherableTextData=0.602953, BuildExportMap=0.945050, SortExportsNonSeekfree=14.695343, SortExportsSeekfreeConstructor=0.028227, SortExportsSeekfreeInner=81.191071, SortExportsSeekfree=0.011120, BuildDependencyMap=0.461835, SerializeImportMap=0.043619, SerializeExportMap=0.291638, SerializeDependencyMap=0.065427, SerializeStringAssetReferenceMap=0.003848, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.282458, SerializeExports=91.661476, SerializeBulkData=0.014540, MoveFile=1.641225, UnaccountedTime=1.635242, RunGuid=RunID005C05844D0A24ED86DF63AB21074A6A
